Console,GameName,Score
"NS, PS4",Mega Man X Legacy Collection 1 + 2 Review: Mega Museum,8
XONE,Earthfall Review: An Inferior Invasion,4
NS,Semblance Review,7
"PS4, XONE, PC",Mothergunship Review: Bullet-Hell Extravaganza,8
NS,20XX Review - Robot Generation,7
PS4,Fighting EX Layer Review: One-On-One Fun,8
NS,Captain Toad: Treasure Tracker Nintendo Switch Review: Time For Adventure,8
"PS4, XONE, PC, NS",Sonic Mania Plus Review - Encore! Encore!,9
"PS3, VITA, PS4",Rainbow Skies Review: Rainbow in the Dark,5
PS4,The Crew 2 Review - On The Road Again,8
NS,Wolfenstein 2: The New Colossus Nintendo Switch Review,8
PC,Wreckfest Review: Crashing The Party,9
"NS, PS4, XONE, PC",Lumines Remastered: Groove Is In The Heart,8
"PS4, NS, XONE, PC",Crash Bandicoot N Sane Trilogy Review: Marsupial Makeover,6
NS,Mario Tennis Aces Review: Aim High,7
"PC, PS4, XONE",Nier: Automata Review,9
"XONE, PS4, PC",The Awesome Adventures Of Captain Spirit - Mind Over Matter,8
"PS4, PC, XONE",Jurassic World Evolution Review: Life Finds A Way,7
"PS4, XONE, PC",Unravel 2 Review: Partners In Twine,8
"PC, PS4",Moonlighter Review: Open For Business,7
NS,Sushi Striker: The Way Of Sushido Review - Cartoon Cuisine Combat,7
"PC, NS","West Of Loathing Review: Wild, Wild West",8
"NS, PS4",BlazBlue: Cross Tag Battle Review - The Tag Team Dream,9
PS4,Onrush Review: Push It To The Limit,9
PC,Golem Review: Hidden In Plain Sight,5
"PS4, PC",Vampyr Review: The City That Never Sleeps,7
PC,Yoku’s Island Express Review: A Breath of Fresh Air,9
